time_ns;time_s;Length;avg_time;std_time;avg_length;std_length
10620200700;10,6202007;nan;;;;
9678094300;9,6780943;15,58561517;;;;
9819049500;9,8190495;nan;;;;
11672152100;11,6721521;16,69295861;;;;
9943697300;9,9436973;nan;;;;
9834799200;9,8347992;nan;;;;
10867608400;10,8676084;16,68512118;;;;
10090255800;10,0902558;15,88754947;;;;
11021729000;11,021729;16,4029572;;;;
10921962700;10,9219627;17,42768066;;;;
11184292400;11,1842924;16,89961174;;;;
9852066000;9,852066;16,84822518;;;;
10126686400;10,1266864;nan;;;;
10586887400;10,5868874;16,00996261;;;;
10332398400;10,3323984;nan;;;;
10885785800;10,8857858;16,07653574;;;;
10404395700;10,4043957;16,50694714;;;;
10750004800;10,7500048;16,64016839;;;;
10449218200;10,4492182;16,07892986;;;;
10278539000;10,278539;16,54559409;;;;
9943069300;9,9430693;nan;;;;
10518344900;10,5183449;15,46287916;;;;
10818278600;10,8182786;nan;;;;
12163975300;12,1639753;15,70645355;;;;
10020803000;10,020803;17,28684299;;;;
11439771200;11,4397712;17,44785525;;;;
10509683000;10,509683;16,21659384;;;;
11860988700;11,8609887;16,57339635;;;;
9931889300;9,9318893;nan;;;;
9889043800;9,8890438;15,5809638;;;;
9990827800;9,9908278;nan;;;;
9873016100;9,8730161;16,48949143;;;;
10633083300;10,6330833;16,46165907;;;;
12062134800;12,0621348;nan;;;;
9738763400;9,7387634;15,92902591;;;;
10624685800;10,6246858;16,80065285;;;;
8722855400;8,7228554;15,2596223;;;;
10247510200;10,2475102;15,79963703;;;;
11661153600;11,6611536;17,23518059;;;;
10675283000;10,675283;16,35884505;;;;
10522508000;10,522508;16,29494216;;;;
11804640200;11,8046402;nan;;;;
10034963700;10,0349637;16,5596948;;;;
10082466300;10,0824663;nan;;;;
9881944000;9,881944;nan;;;;
11234451200;11,2344512;17,43884563;;;;
9828815000;9,828815;nan;;;;
11088321400;11,0883214;nan;;;;
10446446100;10,4464461;16,16651192;;;;
9864175200;9,8641752;nan;;;;
10011286800;10,0112868;16,06495042;;;;
10688039400;10,6880394;16,79791786;;;;
11227938000;11,227938;16,80200716;;;;
10159944200;10,1599442;nan;;;;
10576153400;10,5761534;16,69196942;;;;
10236443700;10,2364437;nan;;;;
10270642600;10,2706426;15,53229665;;;;
10168863400;10,1688634;nan;;;;
10256814000;10,256814;16,030611;;;;
10639539500;10,6395395;16,01570262;;;;
9826655600;9,8266556;nan;;;;
12312311200;12,3123112;16,31855753;;;;
10576530700;10,5765307;nan;;;;
9896750700;9,8967507;nan;;;;
10257929300;10,2579293;18,99947534;;;;
9685315000;9,685315;nan;;;;
9653851800;9,6538518;15,24928375;;;;
10675804800;10,6758048;16,35770969;;;;
7720062900;7,7200629;15,26080944;;;;
8997735500;8,9977355;15,34877897;;;;
10206927300;10,2069273;nan;;;;
10631559500;10,6315595;nan;;;;
10469327600;10,4693276;nan;;;;
10717714400;10,7177144;nan;;;;
10436608800;10,4366088;16,70863291;;;;
10465105100;10,4651051;16,29712388;;;;
9938079700;9,9380797;nan;;;;
9996172400;9,9961724;nan;;;;
10567112500;10,5671125;15,64388389;;;;
11122547900;11,1225479;17,01969947;;;;
10697994200;10,6979942;16,05468569;;;;
11467595200;11,4675952;16,78163534;;;;
10529614000;10,529614;16,28651015;;;;
10077444900;10,0774449;nan;;;;
11198226600;11,1982266;16,57506443;;;;
10757382700;10,7573827;nan;;;;
11546050000;11,54605;17,19625766;;;;
11341550000;11,34155;17,44603121;;;;
11181943100;11,1819431;17,59563056;;;;
11101554000;11,101554;16,79678481;;;;
10412115600;10,4121156;15,63280059;;;;
9965442400;9,9654424;nan;;;;
9779625500;9,7796255;15,6549147;;;;
9935111300;9,9351113;15,43866844;;;;
10671035900;10,6710359;16,09753279;;;;
10409856200;10,4098562;nan;;;;
11218091000;11,218091;16,04328604;;;;
11512161300;11,5121613;16,23320101;;;;
9678187100;9,6781871;16,71558394;;;;
10760132000;10,760132;15,56903697;;;;
;;;;;;
;10,48064595;16,37293917;;;;
;0,709951551;0,682475994;;;;
;;34;;;;
