time_ns;time_s;Length;avg_time;std_time;avg_length;std_length
10011440900;10,0114409;17,9423005;;;;
9814863300;9,8148633;nan;;;;
9759463800;9,7594638;16,88407058;;;;
10276561300;10,2765613;17,28176269;;;;
9966434000;9,966434;nan;;;;
10074419800;10,0744198;16,95481837;;;;
10268647700;10,2686477;nan;;;;
9766479200;9,7664792;16,72308463;;;;
9942910600;9,9429106;18,87368969;;;;
9623570500;9,6235705;17,69912984;;;;
9603606800;9,6036068;17,63151711;;;;
9925358800;9,9253588;18,51565451;;;;
9613961200;9,6139612;18,73498006;;;;
9717778500;9,7177785;16,91800246;;;;
9813010500;9,8130105;18,12673285;;;;
9635573100;9,6355731;22,31621454;;;;
9756748500;9,7567485;16,77505973;;;;
9670864000;9,670864;18,66683449;;;;
9837019700;9,8370197;18,77278379;;;;
9882382200;9,8823822;18,19132627;;;;
10001128000;10,001128;17,6626261;;;;
9709362500;9,7093625;17,71857505;;;;
9719474500;9,7194745;18,59533685;;;;
9955169600;9,9551696;18,35280227;;;;
9861023200;9,8610232;16,3914833;;;;
9503079000;9,503079;nan;;;;
9769071400;9,7690714;16,98332041;;;;
10159057600;10,1590576;17,72620487;;;;
10042213600;10,0422136;18,25780024;;;;
11094111400;11,0941114;17,95116412;;;;
10104602000;10,104602;17,74380356;;;;
10393960700;10,3939607;17,50462947;;;;
9890139700;9,8901397;nan;;;;
9641915400;9,6419154;nan;;;;
10254424100;10,2544241;18,12280544;;;;
9895709000;9,895709;16,86058181;;;;
9773462000;9,773462;17,46863483;;;;
9710477300;9,7104773;19,84765647;;;;
9595536400;9,5955364;20,20010486;;;;
9821613700;9,8216137;20,12386085;;;;
10427904500;10,4279045;20,02747641;;;;
9742799900;9,7427999;16,40040271;;;;
10039181400;10,0391814;18,28119494;;;;
10066914700;10,0669147;16,22527068;;;;
9679268400;9,6792684;16,46234704;;;;
10010760400;10,0107604;17,54778812;;;;
9807596400;9,8075964;16,40244514;;;;
9879116800;9,8791168;nan;;;;
9736684200;9,7366842;nan;;;;
9934662300;9,9346623;16,54017174;;;;
10026566100;10,0265661;17,39243815;;;;
9676222100;9,6762221;16,32657149;;;;
9734838800;9,7348388;16,82268953;;;;
9697785400;9,6977854;20,83476246;;;;
9768678500;9,7686785;16,05025952;;;;
10059952700;10,0599527;16,55087098;;;;
9692964600;9,6929646;16,79917064;;;;
9947927000;9,947927;18,29193187;;;;
9997186500;9,9971865;17,04139496;;;;
9792038700;9,7920387;17,1229472;;;;
9734840800;9,7348408;16,24014838;;;;
9645477200;9,6454772;15,6985662;;;;
9780111900;9,7801119;18,06551555;;;;
10233820200;10,2338202;19,12044543;;;;
9793575500;9,7935755;18,58922176;;;;
10490890100;10,4908901;16,63336543;;;;
9793451500;9,7934515;17,47797384;;;;
9711885900;9,7118859;16,4231224;;;;
10246393700;10,2463937;18,03706404;;;;
9792912800;9,7929128;nan;;;;
10181343600;10,1813436;20,64241024;;;;
10030865300;10,0308653;18,4346546;;;;
9677651600;9,6776516;16,68244275;;;;
10090369600;10,0903696;16,60748259;;;;
10170297300;10,1702973;18,6951983;;;;
10092408000;10,092408;19,12223646;;;;
9879335000;9,879335;19,43133957;;;;
10026044100;10,0260441;17,63963293;;;;
9255986500;9,2559865;19,56002669;;;;
9702894100;9,7028941;16,15974557;;;;
9838831800;9,8388318;19,98099635;;;;
9831259900;9,8312599;17,08135155;;;;
10899993000;10,899993;19,83311056;;;;
10596646000;10,596646;17,79086702;;;;
10180589600;10,1805896;nan;;;;
9936303500;9,9363035;17,47155556;;;;
10047067600;10,0470676;nan;;;;
9876469100;9,8764691;17,0670807;;;;
9785990200;9,7859902;18,93525525;;;;
9537334900;9,5373349;18,84064202;;;;
9835768000;9,835768;21,523153;;;;
10179766900;10,1797669;20,65363224;;;;
10130120900;10,1301209;17,68476589;;;;
9639901700;9,6399017;18,98783222;;;;
9868071500;9,8680715;16,16140956;;;;
10109898200;10,1098982;16,71197337;;;;
9898089400;9,8980894;18,28527237;;;;
10012065200;10,0120652;18,30916158;;;;
10073277900;10,0732779;nan;;;;
10474192400;10,4741924;17,17996092;;;;
;;;;;;
;9,926578673;17,9249784;;;;
;0,277624329;1,342862024;;;;
;;12;;;;
