time_ns;time_s;Length;avg_time;std_time;avg_length;std_length
9696812600;9,6968126;19,69537318;;;;
9683919600;9,6839196;17,53125066;;;;
10043608200;10,0436082;20,44263635;;;;
10475868700;10,4758687;17,47436889;;;;
9792156000;9,792156;21,10164963;;;;
9741959200;9,7419592;16,63148543;;;;
11865734500;11,8657345;17,86592965;;;;
9478610400;9,4786104;20,76744144;;;;
9910508400;9,9105084;19,4228041;;;;
10045315200;10,0453152;20,24407958;;;;
9983784500;9,9837845;18,86760186;;;;
9608588800;9,6085888;18,95529422;;;;
9789848200;9,7898482;18,80650985;;;;
9883206300;9,8832063;19,75862515;;;;
9635531700;9,6355317;19,29639273;;;;
9614487800;9,6144878;19,21275303;;;;
9967351900;9,9673519;17,78419989;;;;
10107473400;10,1074734;17,02640352;;;;
10002633300;10,0026333;18,19049223;;;;
9583809700;9,5838097;17,38006927;;;;
10146454300;10,1464543;20,79017862;;;;
9953130500;9,9531305;16;;;;
9682020000;9,68202;18,49907929;;;;
9868741000;9,868741;21;;;;
9972482000;9,972482;nan;;;;
9702590000;9,70259;nan;;;;
9747378300;9,7473783;21,62661163;;;;
9508325100;9,5083251;18,02531967;;;;
9658447200;9,6584472;19,81558857;;;;
9904081100;9,9040811;18,62494076;;;;
9868269000;9,868269;17,29183404;;;;
9660425100;9,6604251;16,99211612;;;;
9393920000;9,39392;17,89792234;;;;
9857465200;9,8574652;18,49786521;;;;
9842653700;9,8426537;19,00133852;;;;
10036979200;10,0369792;nan;;;;
9765133700;9,7651337;17,9207986;;;;
10256537300;10,2565373;nan;;;;
10007694900;10,0076949;17,98310178;;;;
9609962200;9,6099622;18,2331651;;;;
9921350900;9,9213509;17,68933442;;;;
9482133200;9,4821332;nan;;;;
10003710100;10,0037101;18,61731548;;;;
10330014500;10,3300145;17,77928606;;;;
10050228400;10,0502284;16,31583587;;;;
9477247100;9,4772471;17,93294385;;;;
10125387300;10,1253873;16,48365076;;;;
9839859100;9,8398591;18,01565412;;;;
9573183600;9,5731836;19;;;;
10531560300;10,5315603;16,60093801;;;;
9552338200;9,5523382;17,13587446;;;;
10316342300;10,3163423;17,90055072;;;;
9234335400;9,2343354;18,58042068;;;;
9566156000;9,566156;16,80392884;;;;
9836163600;9,8361636;18,37966213;;;;
10045183600;10,0451836;18,53232097;;;;
9741875900;9,7418759;18,33401116;;;;
9769554100;9,7695541;18,75881071;;;;
10045787100;10,0457871;18,05580614;;;;
9533537800;9,5335378;nan;;;;
10640047700;10,6400477;19,36194033;;;;
9794293300;9,7942933;16,25561785;;;;
9619635500;9,6196355;16,29450696;;;;
9897174000;9,897174;18,92667436;;;;
9900024900;9,9000249;21,56865198;;;;
9635311800;9,6353118;16,44546157;;;;
9894673700;9,8946737;18,06578885;;;;
9721795800;9,7217958;17,24207101;;;;
10198729200;10,1987292;17,64759277;;;;
9660258300;9,6602583;17,85993024;;;;
10031085300;10,0310853;19,73345614;;;;
9889596400;9,8895964;18;;;;
9990527100;9,9905271;16,25624491;;;;
9813602100;9,8136021;16,15793245;;;;
9913613000;9,913613;17,55839217;;;;
9507619800;9,5076198;17,1117261;;;;
9441438200;9,4414382;17,63430273;;;;
9844335900;9,8443359;17,03066532;;;;
10662322100;10,6623221;17,88317726;;;;
9565200400;9,5652004;nan;;;;
9783531900;9,7835319;17,80298958;;;;
9752081600;9,7520816;20,01602641;;;;
9790741700;9,7907417;16,25905445;;;;
9980646500;9,9806465;17,64045128;;;;
9888547400;9,8885474;nan;;;;
9871159600;9,8711596;17,45995438;;;;
9634665000;9,634665;18,13531598;;;;
10163124000;10,163124;18,86332941;;;;
10303757700;10,3037577;17,52938769;;;;
10076694800;10,0766948;18,77703256;;;;
9951715500;9,9517155;18,64413336;;;;
9900806500;9,9008065;18,94386031;;;;
9746404800;9,7464048;18,33710288;;;;
10868880200;10,8688802;20,92072043;;;;
10138522400;10,1385224;19,71682421;;;;
10071306000;10,071306;18,9712687;;;;
9633724200;9,6337242;18,86931883;;;;
9358666200;9,3586662;nan;;;;
10312369400;10,3123694;18,69447451;;;;
10220276900;10,2202769;17,55175174;;;;
;;;;;;
;9,893987535;18,30482082;;;;
;0,349007876;1,286186577;;;;
;;9;;;;
