time_ns;time_s;Length;avg_time;std_time;avg_length;std_length
10485044500;10,4850445;nan;;;;
9670729600;9,6707296;15,77603694;;;;
10419850700;10,4198507;16,00125624;;;;
9212831200;9,2128312;15,50296784;;;;
12277041200;12,2770412;16,81393716;;;;
9713145000;9,713145;15,3981076;;;;
11004812700;11,0048127;15,19684581;;;;
11356655800;11,3566558;16,75244813;;;;
10309445400;10,3094454;15,62569826;;;;
10641068100;10,6410681;15,70602424;;;;
9905916000;9,905916;nan;;;;
10017685500;10,0176855;15,2252911;;;;
11530639600;11,5306396;16,30568737;;;;
10767864000;10,767864;nan;;;;
9872315900;9,8723159;15,54900918;;;;
10446454400;10,4464544;16,14478763;;;;
10491424700;10,4914247;nan;;;;
10611657000;10,611657;nan;;;;
9537349000;9,537349;15,58238312;;;;
10874919200;10,8749192;16,47765574;;;;
10216774900;10,2167749;15,91876841;;;;
10455934100;10,4559341;16,27430806;;;;
11890798600;11,8907986;17,51637793;;;;
9027365100;9,0273651;15,61457185;;;;
10955261600;10,9552616;16,2494127;;;;
10479025200;10,4790252;16,06721561;;;;
10332059000;10,332059;16,79736169;;;;
10674770000;10,67477;16,1951443;;;;
10745781700;10,7457817;16,22291311;;;;
11166404500;11,1664045;15,73307972;;;;
10100544500;10,1005445;nan;;;;
11423568300;11,4235683;16,73799336;;;;
9111693700;9,1116937;15,60182565;;;;
9515220700;9,5152207;15,58986049;;;;
8780667500;8,7806675;15,14331363;;;;
12146104100;12,1461041;17,01783893;;;;
10087487300;10,0874873;17,02877617;;;;
10600480000;10,60048;15,78122046;;;;
10361889100;10,3618891;15,94337448;;;;
10313219400;10,3132194;16,39568006;;;;
9563160700;9,5631607;15,32985878;;;;
10248957700;10,2489577;nan;;;;
9530073400;9,5300734;15,82331619;;;;
9985738900;9,9857389;nan;;;;
10795060500;10,7950605;15,62822125;;;;
11665781900;11,6657819;16,7779228;;;;
10258162300;10,2581623;15,74603932;;;;
10902253900;10,9022539;16,12800519;;;;
10289682300;10,2896823;17,0762041;;;;
10660281000;10,660281;16,17766589;;;;
11068525900;11,0685259;17,28120481;;;;
10577678800;10,5776788;nan;;;;
10021910500;10,0219105;16,03772824;;;;
10241195500;10,2411955;16,51533918;;;;
10785139200;10,7851392;16,19295962;;;;
11592904800;11,5929048;16,10354657;;;;
10497374800;10,4973748;15,71032279;;;;
10384322800;10,3843228;16,09614774;;;;
10875574500;10,8755745;16,3420893;;;;
11049430700;11,0494307;16,87500507;;;;
10688673400;10,6886734;16,67876338;;;;
9983388300;9,9833883;15,53513962;;;;
11225280400;11,2252804;16,71770448;;;;
9592243400;9,5922434;nan;;;;
12690750100;12,6907501;17,13884265;;;;
8788300500;8,7883005;15,4150606;;;;
11513220200;11,5132202;16,03112935;;;;
11648217200;11,6482172;17,39438453;;;;
10304654000;10,304654;nan;;;;
10894275100;10,8942751;16,55555146;;;;
10297384700;10,2973847;15,87470903;;;;
12154705200;12,1547052;17,94351689;;;;
9986933300;9,9869333;15,76167673;;;;
10739702500;10,7397025;16,34245433;;;;
10648770300;10,6487703;16,28471223;;;;
10805051500;10,8050515;16,9399798;;;;
11664480100;11,6644801;17,54285319;;;;
10506436600;10,5064366;17,03240859;;;;
10547686400;10,5476864;17,19056629;;;;
10364388100;10,3643881;16,14914727;;;;
12186123200;12,1861232;19,05549581;;;;
8678195300;8,6781953;14,89810199;;;;
8577006400;8,5770064;15,12320493;;;;
12131257900;12,1312579;16,86467563;;;;
10734281900;10,7342819;16,13304129;;;;
8831250600;8,8312506;15,24789012;;;;
10475429500;10,4754295;15,75542325;;;;
11206207300;11,2062073;16,9491679;;;;
11394877300;11,3948773;16,593746;;;;
10657054100;10,6570541;15,49221477;;;;
12093981000;12,093981;16,77293475;;;;
9757077800;9,7570778;15,71204647;;;;
9482157100;9,4821571;15,33365531;;;;
9305433300;9,3054333;15,40536063;;;;
10447301800;10,4473018;nan;;;;
8298900500;8,2989005;14,97104184;;;;
10309765500;10,3097655;16,18750212;;;;
10075842300;10,0758423;16,26538136;;;;
12039735600;12,0397356;17,64721213;;;;
9403002700;9,4030027;15,45776894;;;;
;;;;;;
;10,49654531;16,20594563;;;;
;0,887491172;0,737366631;;;;
;;12;;;;
