time_ns;time_s;Length;avg_time;std_time;avg_length;std_length
8696461400;8,6964614;14,20533355;;;;
9165876800;9,1658768;nan;;;;
9573538400;9,5735384;14,44733914;;;;
10449237800;10,4492378;13,87106381;;;;
9034551500;9,0345515;15,07396813;;;;
9197598000;9,197598;14,234633;;;;
9191138800;9,1911388;14,31252332;;;;
8906492500;8,9064925;nan;;;;
9257450500;9,2574505;15,17313144;;;;
9297805700;9,2978057;13,81621412;;;;
8763921000;8,763921;14,89621502;;;;
9453207500;9,4532075;14,38285347;;;;
9857848600;9,8578486;14,40742998;;;;
9599869200;9,5998692;14,32528657;;;;
9368827600;9,3688276;14,29476139;;;;
10178550200;10,1785502;15,49614422;;;;
9733164700;9,7331647;14,89292116;;;;
8631312200;8,6313122;14,34192825;;;;
9212622600;9,2126226;14,55205424;;;;
9303381800;9,3033818;15,14931719;;;;
9364978100;9,3649781;14,326578;;;;
9701977000;9,701977;nan;;;;
9141312500;9,1413125;14,30111095;;;;
8511204300;8,5112043;14,22873274;;;;
9797373700;9,7973737;14,12023961;;;;
9975314100;9,9753141;14,37097093;;;;
8977431700;8,9774317;nan;;;;
8960881000;8,960881;14,43924631;;;;
9273121400;9,2731214;15,01959938;;;;
9650677300;9,6506773;15,00757261;;;;
9749222000;9,749222;14,13058499;;;;
9474068500;9,4740685;14,23185387;;;;
9570882800;9,5708828;nan;;;;
10008474600;10,0084746;14,36320064;;;;
9956666700;9,9566667;14,82078523;;;;
8774608200;8,7746082;14,39310631;;;;
9610906500;9,6109065;nan;;;;
8905030000;8,90503;14,4393198;;;;
9737487800;9,7374878;14,29772714;;;;
8973520500;8,9735205;14,55665679;;;;
9062664000;9,062664;14,22567797;;;;
9454089700;9,4540897;15,76421289;;;;
9365887100;9,3658871;14,54105274;;;;
9609249600;9,6092496;14,43216619;;;;
9507792200;9,5077922;13,97105509;;;;
9366213100;9,3662131;14,62538743;;;;
9382208300;9,3822083;14,86366606;;;;
9333039900;9,3330399;14,42882016;;;;
10078906500;10,0789065;14,33419714;;;;
9185213700;9,1852137;14,63638865;;;;
9391625100;9,3916251;14,52790504;;;;
8974209900;8,9742099;14,35365044;;;;
9401526700;9,4015267;14,33077945;;;;
9276374700;9,2763747;14,10400739;;;;
9223337200;9,2233372;14,96059532;;;;
9950512100;9,9505121;13,95860074;;;;
9703569900;9,7035699;14,51284194;;;;
9988781700;9,9887817;13,85734736;;;;
8666518800;8,6665188;14,21563649;;;;
9798248000;9,798248;14,81634003;;;;
9040013100;9,0400131;14,52150272;;;;
9462792600;9,4627926;14,50068907;;;;
8841004700;8,8410047;14,36138877;;;;
9459261300;9,4592613;14,35093282;;;;
10051508300;10,0515083;14,78635471;;;;
9273909800;9,2739098;14,3742127;;;;
9172426200;9,1724262;14,08040638;;;;
9069118300;9,0691183;14,31531931;;;;
9336295700;9,3362957;14,37067845;;;;
8736511100;8,7365111;nan;;;;
9097574200;9,0975742;15,33429519;;;;
9842506500;9,8425065;13,92757366;;;;
9065186800;9,0651868;14,83885072;;;;
9268852700;9,2688527;14,2307078;;;;
9787345100;9,7873451;14,7718378;;;;
9644619400;9,6446194;14,08472943;;;;
10473033500;10,4730335;14,94186823;;;;
8794771200;8,7947712;14,40574378;;;;
8694312600;8,6943126;14,9046989;;;;
9373987900;9,3739879;14,25150975;;;;
9859314200;9,8593142;14,78582026;;;;
9817284700;9,8172847;14,42871039;;;;
9026549000;9,026549;15,12211609;;;;
9245676900;9,2456769;14,09240758;;;;
9758380900;9,7583809;14,82972399;;;;
8830812400;8,8308124;14,09045289;;;;
9155213500;9,1552135;14,42242957;;;;
9618467800;9,6184678;14,13703115;;;;
8912579500;8,9125795;14,35848396;;;;
9337620700;9,3376207;14,58004011;;;;
9222054400;9,2220544;14,559284;;;;
8722056200;8,7220562;15,30982652;;;;
9044915300;9,0449153;14,49540503;;;;
9536661100;9,5366611;14,39897727;;;;
9833213900;9,8332139;14,72858084;;;;
9155482900;9,1554829;14,93105128;;;;
9536536900;9,5365369;14,73323083;;;;
8975909000;8,975909;14,96317114;;;;
9597544400;9,5975444;nan;;;;
9116879800;9,1168798;14,57006314;;;;
;;;;;;
;9,364961482;14,51381346;;;;
;0,409933186;0,374125241;;;;
;;8;;;;
