time_ns,time_s,Length
796955300.0,0.7969553,nan
1712846100.0,1.7128461000000001,nan
2443039400.0,2.4430394,15.280169404936087
408683300.0,0.4086833,nan
2336173200.0,2.3361732,14.613833076830515
8918153300.0,8.9181533,15.184699011228265
5670422800.0,5.670422800000001,14.505540992515364
1703212900.0,1.7032129,nan
5704720100.0,5.7047201,14.777304658480329
2419956500.0,2.4199565,14.430972444715351
3257689600.0,3.2576896000000004,nan
420679800.0,0.42067980000000005,nan
6688015400.0,6.6880154,nan
9876858400.0,9.876858400000001,14.446894827214072
6930987300.0,6.930987300000001,15.470136648403178
2578762300.0,2.5787623,nan
695890900.0,0.6958909000000001,nan
6235399300.0,6.2353993,15.929877840146721
9029157700.0,9.0291577,14.907232168864677
7188902000.0,7.188902000000001,14.537841961338515
1589743800.0,1.5897438000000002,nan
6425206000.0,6.425206,nan
9170522100.0,9.170522100000001,15.969744982083819
12478613600.0,12.478613600000001,14.786513844640572
2772390800.0,2.7723908,14.65549268626334
4759813800.0,4.7598138,nan
2211961600.0,2.2119616,nan
5173091600.0,5.1730916,nan
7983808000.0,7.983808000000001,14.60958678704259
483635300.0,0.48363530000000005,nan
3141899800.0,3.1418998,16.592013925532996
11219553400.0,11.2195534,15.896058802331275
961692500.0,0.9616925000000001,nan
19172790100.0,19.1727901,14.79883691170585
7211651100.0,7.2116511,15.337968539410136
16362796500.0,16.3627965,15.447951048843953
13688743700.0,13.688743700000002,15.274708897260322
8806259200.0,8.806259200000001,15.23626679630723
14591534600.0,14.591534600000001,14.549516117867501
10101418200.0,10.101418200000001,14.789526013932704
16109573900.0,16.1095739,14.917053027490654
2090542400.0,2.0905424,nan
11666682000.0,11.666682000000002,nan
2186667900.0,2.1866679,nan
3129222200.0,3.1292222,nan
5850757300.0,5.850757300000001,15.143244391823414
21059341000.0,21.059341,15.126259955291614
4429991300.0,4.4299913,15.009649119437345
4990442100.0,4.9904421,nan
1179852700.0,1.1798527,nan
13193676500.0,13.1936765,nan
12586525800.0,12.5865258,15.051931094927426
11682249700.0,11.6822497,14.761123273128694
6170215300.0,6.170215300000001,14.392494234816944
13978646400.0,13.9786464,14.949495396720483
906207000.0,0.9062070000000001,nan
10796016400.0,10.796016400000001,14.528877052718958
8546393100.0,8.546393100000001,14.729935933538998
1093132100.0,1.0931321,nan
5688816200.0,5.688816200000001,nan
7074207900.0,7.0742079,15.079509893767309
10551182100.0,10.5511821,14.999903037869723
14306142800.0,14.306142800000002,15.080556331609785
10832707800.0,10.832707800000001,15.017884491033369
4126695000.0,4.126695000000001,nan
10453911100.0,10.453911100000001,14.800032810992857
2527075900.0,2.5270759000000003,nan
7732138800.0,7.7321388,15.02765200924814
1201007000.0,1.2010070000000002,nan
2932079100.0,2.9320791,nan
5579840100.0,5.5798401,nan
23074643000.0,23.074643000000002,14.919737747963739
3346894000.0,3.3468940000000003,nan
6913816800.0,6.9138168,nan
11833072200.0,11.8330722,14.62779521283195
19971712300.0,19.9717123,15.476578159863747
1615713800.0,1.6157138000000002,nan
18789239400.0,18.7892394,15.304397050819004
7065432100.0,7.065432100000001,14.838722402271209
7624583700.0,7.6245837000000005,14.744929409007137
5116956600.0,5.1169566,14.493493446345386
9450140700.0,9.4501407,nan
2126867700.0,2.1268677,nan
3365422500.0,3.3654225,nan
14418486900.0,14.418486900000001,15.167924765870481
17404935100.0,17.4049351,14.695156667549593
7745576700.0,7.745576700000001,16.035943389732218
1370687900.0,1.3706879,nan
5887369500.0,5.8873695,nan
6749714400.0,6.7497144,16.59657033419241
11749947200.0,11.749947200000001,14.783987378217514
15067454600.0,15.067454600000001,15.100685751688697
17316939100.0,17.316939100000003,14.463920785793748
3975210000.0,3.97521,nan
570997100.0,0.5709971,nan
5434474900.0,5.4344749000000006,15.158007758239636
9860977000.0,9.860977,14.395362751664607
4454700000.0,4.4547,15.636016149141678
2583259200.0,2.5832592,nan
6511129600.0,6.5111296,14.604224988925143
