time_ns;time_s;Length;avg_time;std_time;avg_length;std_length
8510741300;8,5107413;14,52258621;;;;
7682778000;7,682778;14,94969823;;;;
8486322100;8,4863221;nan;;;;
8394193500;8,3941935;15,103638;;;;
8578618400;8,5786184;14,15965506;;;;
7897489300;7,8974893;nan;;;;
8482829100;8,4828291;14,3749383;;;;
8903708600;8,9037086;14,38790839;;;;
8067485900;8,0674859;14,82378176;;;;
7489846800;7,4898468;15,583628;;;;
8372987100;8,3729871;nan;;;;
8151925100;8,1519251;14,52247321;;;;
8043564500;8,0435645;14,65742527;;;;
8304244700;8,3042447;14,25192637;;;;
8907424900;8,9074249;14,41656053;;;;
9171325800;9,1713258;14,48619502;;;;
8475311000;8,475311;14,45607038;;;;
8385699100;8,3856991;14,50725231;;;;
7821355800;7,8213558;14,23949967;;;;
7440358800;7,4403588;14,38869581;;;;
7925796700;7,9257967;14,60109509;;;;
8895504300;8,8955043;15,31006777;;;;
8525363300;8,5253633;14,5986028;;;;
8475622900;8,4756229;nan;;;;
9271915300;9,2719153;14,98139814;;;;
9020516200;9,0205162;14,27455211;;;;
9043846400;9,0438464;14,17844571;;;;
8545252300;8,5452523;14,40666139;;;;
8127324900;8,1273249;14,23223994;;;;
8805153900;8,8051539;14,78899587;;;;
7994942300;7,9949423;15,05649987;;;;
6654471600;6,6544716;nan;;;;
7577909800;7,5779098;15,06151312;;;;
7891909100;7,8919091;14,53781376;;;;
8242019900;8,2420199;14,50639281;;;;
7256644300;7,2566443;15,60483263;;;;
8502257800;8,5022578;14,60376096;;;;
8162408800;8,1624088;14,39585351;;;;
7412016400;7,4120164;14,10901774;;;;
7716466600;7,7164666;14,67915811;;;;
9048524500;9,0485245;14,86694768;;;;
8544197500;8,5441975;15,30393692;;;;
8180341700;8,1803417;15,10634504;;;;
8086611800;8,0866118;14,93853611;;;;
8063137500;8,0631375;14,67738756;;;;
8323992000;8,323992;14,67960703;;;;
8759079400;8,7590794;14,51016987;;;;
8021276300;8,0212763;14,63934897;;;;
7750293000;7,750293;15,04670053;;;;
8692146500;8,6921465;14,6629067;;;;
9912998600;9,9129986;14,28403442;;;;
7511055300;7,5110553;14,65696645;;;;
8240980100;8,2409801;14,3768155;;;;
7726686600;7,7266866;14,6707132;;;;
8410519500;8,4105195;nan;;;;
8700572700;8,7005727;14,38388379;;;;
7739444800;7,7394448;14,38098538;;;;
7893852000;7,893852;14,03826345;;;;
8342959900;8,3429599;nan;;;;
8001874800;8,0018748;13,93572638;;;;
8432055600;8,4320556;14,8081203;;;;
8744665200;8,7446652;14,36087725;;;;
8365213900;8,3652139;14,5415289;;;;
7565178300;7,5651783;14,79321594;;;;
8948754900;8,9487549;13,96474335;;;;
8301000100;8,3010001;15,33230393;;;;
8213199900;8,2131999;14,76913172;;;;
9022728700;9,0227287;14,54871031;;;;
8358288800;8,3582888;14,39528623;;;;
8084249900;8,0842499;14,72862256;;;;
8459963200;8,4599632;14,54668096;;;;
8674686200;8,6746862;15,40322713;;;;
7702484300;7,7024843;15,45888409;;;;
8150186500;8,1501865;14,87526723;;;;
8579648800;8,5796488;14,47213636;;;;
7896326600;7,8963266;14,50555051;;;;
8640720300;8,6407203;14,9264542;;;;
7853009100;7,8530091;14,52441811;;;;
8151301100;8,1513011;14,56326461;;;;
8416818100;8,4168181;14,16904313;;;;
8520662000;8,520662;14,66358353;;;;
8305278600;8,3052786;14,84126291;;;;
8283910600;8,2839106;14,44153554;;;;
7640713400;7,6407134;14,69785336;;;;
8453889500;8,4538895;15,03531023;;;;
8137952500;8,1379525;15,03601396;;;;
8714131800;8,7141318;nan;;;;
8527829400;8,5278294;15,40185833;;;;
8248459500;8,2484595;14,41728777;;;;
8870118700;8,8701187;14,75760291;;;;
8022097100;8,0220971;nan;;;;
7974735500;7,9747355;14,4535456;;;;
8738396800;8,7383968;14,86716532;;;;
8494651100;8,4946511;15,18374315;;;;
8391938400;8,3919384;14,74411407;;;;
7462301800;7,4623018;15,11305609;;;;
8634126000;8,634126;14,84540564;;;;
8199746900;8,1997469;15,32338591;;;;
9066646900;9,0666469;14,706849;;;;
7800453900;7,8004539;15,05510162;;;;
;;;;;;
;8,28614617;14,68340935;;;;
;0,495764791;0,365220651;;;;
;;9;;;;
