time_ns,time_s,Length
13682464400.0,13.6824644,nan
14108896400.0,14.1088964,16.57628301631623
12475697400.0,12.475697400000001,16.632430325303435
12687095600.0,12.687095600000001,15.976990100681755
12504476400.0,12.504476400000001,16.234342174812763
14733777600.0,14.733777600000002,nan
13179325700.0,13.179325700000001,17.417397815662955
15037405700.0,15.0374057,16.146841599588768
14020526400.0,14.020526400000001,16.907383715736692
15063914500.0,15.063914500000001,16.35506050863545
15816632400.0,15.816632400000001,16.690813582814616
12900889800.0,12.900889800000002,16.575490322867452
13551923500.0,13.551923500000001,16.769816662184407
14738849600.0,14.738849600000002,nan
14630690300.0,14.630690300000001,nan
14076729900.0,14.0767299,16.138192850182524
12941990600.0,12.9419906,16.361929594449066
14165218100.0,14.1652181,nan
9111236600.0,9.1112366,16.512824732480894
14773971600.0,14.773971600000001,16.10830854091434
13730989100.0,13.7309891,16.504596699620002
11864062800.0,11.864062800000001,nan
14635737000.0,14.635737,16.49682231584374
13062966500.0,13.062966500000002,15.974545315670792
13219110700.0,13.219110700000002,16.905544723815193
10480137500.0,10.480137500000001,nan
13023820000.0,13.02382,16.364502090181677
15234529800.0,15.2345298,16.03018703168573
15928793200.0,15.928793200000001,17.413044654779508
11405318600.0,11.405318600000001,nan
9657083500.0,9.6570835,nan
14540780600.0,14.540780600000001,16.65739000989382
13119719700.0,13.119719700000001,15.821608497700948
16751460500.0,16.7514605,17.506713135839167
12584461100.0,12.5844611,16.15985850705786
10553469200.0,10.5534692,15.804233394052526
12918745400.0,12.9187454,15.822175329693716
13061906200.0,13.061906200000001,15.780396375680976
13794045200.0,13.794045200000001,17.11605199314256
12928328900.0,12.9283289,15.765380747498803
16013551100.0,16.0135511,17.91665435947764
13280058200.0,13.280058200000001,15.821928388676882
13708318100.0,13.708318100000001,17.46775620629385
13989184800.0,13.9891848,16.52698390726314
15764439400.0,15.7644394,17.15620810410429
12413592100.0,12.4135921,nan
16809040900.0,16.8090409,17.622572351495325
16334835100.0,16.3348351,18.424761056101786
12435729400.0,12.435729400000001,15.692226449477891
15855018500.0,15.855018500000002,17.253044997970886
9873320800.0,9.8733208,16.301198103990405
15520190300.0,15.520190300000001,16.52314246075819
12468511900.0,12.468511900000001,nan
9323981100.0,9.323981100000001,15.33393193803855
13755695700.0,13.7556957,15.825319042509543
14873555200.0,14.8735552,17.006263201374377
11768182400.0,11.7681824,nan
9623393600.0,9.6233936,14.820611009687635
15756169500.0,15.7561695,17.968416787434172
14390422100.0,14.3904221,15.296522885698659
19932134000.0,19.932134,17.099873122393856
11760618600.0,11.7606186,15.351441838661849
9577813300.0,9.5778133,nan
15658646600.0,15.6586466,nan
13888829000.0,13.888829000000001,nan
13096923600.0,13.0969236,15.579577107941551
15273156600.0,15.2731566,16.322427629449983
13836826100.0,13.836826100000001,nan
14198702800.0,14.198702800000001,16.779247590041464
13553833200.0,13.553833200000001,nan
10090278500.0,10.0902785,nan
14907295200.0,14.9072952,nan
15067033700.0,15.067033700000001,17.31126501523768
10274830500.0,10.2748305,nan
12354387300.0,12.3543873,17.844064109393052
14291930700.0,14.291930700000002,16.48551337598282
14261088500.0,14.261088500000001,15.724218405076705
14629482300.0,14.629482300000001,17.28817879716043
12139499000.0,12.139499,nan
12162225200.0,12.1622252,16.67273625064908
15918477600.0,15.918477600000001,16.654549198882123
16213558700.0,16.2135587,17.060035820648395
12569657100.0,12.5696571,16.74573720558626
9098241900.0,9.098241900000001,nan
13807552500.0,13.807552500000002,16.53479144622859
9753239800.0,9.753239800000001,15.688665870582744
11823771600.0,11.8237716,15.817510188356795
14001681700.0,14.0016817,nan
15323799300.0,15.323799300000001,17.23218875505797
14939852400.0,14.939852400000001,17.091093737665673
12226569800.0,12.2265698,15.854396516674157
13500152800.0,13.5001528,15.51034899358445
13038955200.0,13.0389552,15.987479411948927
13234414600.0,13.234414600000001,16.390240400693884
10185245500.0,10.1852455,16.140073518762577
11030578300.0,11.0305783,nan
13564021200.0,13.564021200000001,16.455464881357006
13414477000.0,13.414477000000002,nan
14991373700.0,14.9913737,16.31455472450165
13032963800.0,13.032963800000001,nan
